aFec,bFec,qFec,sC,segg,spg,scoregg,Rec12,Bsp12,Bsp13,Bsp14,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,ark,brk,sigRrk,scorrk,nllRrk,abh,bbh,sigRbh,scorbh,nllRbh,ahs,bhs,ghs,sigRhs,scorhs,nllRhs,neglnL,Rec1982,Rec2001,SSB1982,SSB2001,Bloss
0.89325,1.3057,1.7011,0.22711,0.6998,0.5313,0.8424,671270,340720,217160,123420,366310,101550,57849,118840,185110,65305,28145,24513,29069,319520,0.025994,0.16654,0.16839,0.24762,0.21189,0.33382,0.29894,0.32801,0.30202,0.31906,0.31696,1.8376,2.0085E-07,0.69875,0.64329,30.754,6355600,3322900,0.70347,0.64784,30.949,0.72138,2361500,1843.3,0.69255,0.62536,30.495,120.27,73884000,12496000,2022000,524470,123420
0.81425,1.3262,1.3354,0.23145,0.56082,0.56623,0.74919,1121700,718180,561770,412980,699810,204900,123910,251260,455890,163600,75013,68439,81757,1124100,0.018223,0.10604,0.11111,0.13769,0.13977,0.17706,0.19196,0.18521,0.16834,0.17918,0.16029,2.194,2.6708E-07,0.7533,0.6989,32.934,4808100,1855500,0.75422,0.70049,32.969,0.81177,1763800,1721,0.75241,0.6945,32.9,122.26,54116000,15224000,2208000,621930,412980
0.94329,0.89465,1.1475,0.23458,0.54677,0.54429,0.70389,2309300,969790,852090,719360,1579400,435130,270370,509070,864350,328960,150000,128640,149070,1587100,0.011423,0.064143,0.061764,0.08948,0.092258,0.12605,0.10636,0.12144,0.11898,0.13199,0.13107,2.6393,3.174E-07,0.66791,0.63023,29.445,3333400,628690,0.65952,0.62752,29.078,0.82093,2202700,1953.7,0.6926,0.64601,30.498,122.57,77510000,16958000,1584700,557120,557120
0.83703,1.4163,1.2216,0.25981,0.48626,0.58248,0.6817,826500,939880,723770,551620,481210,133590,95348,206510,424410,167580,81940,88838,110880,1720900,0.020669,0.15767,0.14347,0.14188,0.1373,0.14562,0.15883,0.17797,0.11023,0.14801,0.11964,2.0495,2.6153E-07,0.83982,0.76474,36.087,3642200,1189300,0.83528,0.76338,35.93,0.68496,2480600,1858.1,0.84714,0.76565,36.338,127.45,73640000,17653000,1313900,565180,551620
0.87651,1.3672,0.94231,0.2496,0.43841,0.5984,0.43517,601780,2271900,1727500,1349600,314890,108890,73841,175010,385270,178950,106000,125070,206670,5172700,0.02288,0.18402,0.13196,0.17659,0.13868,0.15002,0.11915,0.11257,0.072375,0.057119,0.061026,3.5508,4.8351E-07,1.0268,0.83859,41.916,4617300,1539300,1.0622,0.84721,42.898,0.90246,1326500,2701.8,1.0034,0.83254,41.248,126.68,85710000,29709000,1572900,1032500,1032500
0.77759,1.6363,1.0961,0.2661,0.51613,0.55221,0.30886,1872800,1776400,1495900,1255800,1256100,308190,222030,458470,985020,393610,188740,195850,243450,3667400,0.012384,0.07339,0.089208,0.071208,0.082803,0.074158,0.0865,0.10158,0.069226,0.078527,0.071229,2.7296,3.3553E-07,0.78561,0.7208,34.152,3197800,179360,0.76781,0.70952,33.487,0.63557,2919400,2537.4,0.82857,0.73556,35.696,128.75,74386000,23379000,2558400,986680,986680
0.80546,1.6951,1.2921,0.24339,0.50486,0.54047,0.39316,2204400,1597800,1353200,1141600,1501800,413010,236280,492420,933820,355940,163700,161400,217190,3273000,0.011751,0.064387,0.06239,0.10602,0.074633,0.098575,0.10488,0.11586,0.070158,0.079524,0.074028,3.9546,0.000000519,0.75907,0.70781,33.155,5278000,1304700,0.7884,0.72177,34.254,1.3233,982020,2017.9,0.73079,0.68856,32.054,121.5,61077000,22398000,1754700,764000,764000
0.86535,1.2228,1.4706,0.23875,0.54871,0.52514,0.36484,3119700,1183800,1044600,907360,2179800,493030,302290,557480,1059800,386290,161450,142410,175920,2105100,0.010436,0.05292,0.060007,0.080659,0.087306,0.090459,0.10825,0.1392,0.10325,0.097741,0.10602,2.7904,3.3521E-07,0.68559,0.61766,30.203,2982700,285010,0.67247,0.61427,29.642,0.79374,2265200,2087.5,0.71738,0.63284,31.517,120.28,71803000,18394000,2046400,688560,688560
0.76183,1.938,1.6584,0.22716,0.58469,0.55366,0.49621,4101300,941070,889860,798220,2906900,647530,356980,666860,1165100,401320,170510,144830,161070,1433600,0.0091815,0.043186,0.055018,0.080762,0.076428,0.099817,0.11407,0.11827,0.11193,0.13898,0.14,3.1529,3.7429E-07,0.64169,0.54977,28.283,3064100,347440,0.62873,0.5441,27.692,0.95032,1875000,1840,0.6793,0.58088,29.935,119.69,73963000,16167000,1509100,506690,506690
0.76487,1.528,1.0441,0.23751,0.54744,0.52979,0.63433,3241700,1447100,1315100,1149500,2270100,646330,378190,713110,1300400,471130,222850,198520,231490,2647600,0.0088019,0.046426,0.047733,0.064862,0.07346,0.084686,0.090853,0.078812,0.07981,0.094415,0.091418,3.0849,3.6318E-07,0.66693,0.62213,29.402,2787300,28603,0.64129,0.6021,28.265,0.79579,2364700,2189.8,0.71428,0.65889,31.391,123.52,76176000,20496000,1949200,688190,688190
