Bsp_1982,Bsp_1983,Bsp_1984,Bsp_1985,Bsp_1986,Bsp_1987,Bsp_1988,Bsp_1989,Bsp_1990,Bsp_1991,Bsp_1992,Bsp_1993,Bsp_1994,Bsp_1995,Bsp_1996,Bsp_1997,Bsp_1998,Bsp_1999,Bsp_2000,Bsp_2001,Bsp_2002,Bsp_2003,Bsp_2004,Bsp_2005,Bsp_2006,Bsp_2007,Bsp_2008,Bsp_2009,Bsp_2010,Bsp_2011,Bsp_2012,Bsp_2013,Bsp_2014,Rec_1982,Rec_1983,Rec_1984,Rec_1985,Rec_1986,Rec_1987,Rec_1988,Rec_1989,Rec_1990,Rec_1991,Rec_1992,Rec_1993,Rec_1994,Rec_1995,Rec_1996,Rec_1997,Rec_1998,Rec_1999,Rec_2000,Rec_2001,Rec_2002,Rec_2003,Rec_2004,Rec_2005,Rec_2006,Rec_2007,Rec_2008,Rec_2009,Rec_2010,Rec_2011,Rec_2012
1866700,1817100,1630800,2611300,3308700,3866400,4383700,4006700,3413200,3233400,2645800,2464000,2082500,1601500,1444700,1222900,995470,917600,826900,552650,635080,658420,751920,1018800,981010,867040,898860,896140,644270,489950,329850,170530,77499,68013000,528490,1559800,2798300,3914800,5206000,1991800,2101600,1822300,3305700,6026800,7050200,7267700,4205900,2214700,1810400,2920500,3366400,3227400,12761000,2898300,2009900,1025400,651140,505680,772860,1443700,577790,169890,166520,320250
1433500,1422300,1353500,2525900,3387700,4124600,4735600,4384800,3697800,3555600,2940100,2757400,2250800,1658300,1434500,1170800,925800,840650,748150,491870,570000,624990,790920,1167100,1196900,1123400,1223500,1288300,1053300,987230,885480,789060,679230,79163000,500090,1396100,2547400,3690500,5071100,1911400,2053000,1776900,3223900,5872200,6844600,7053700,4096700,2145900,1792600,2733800,3477800,3863100,16259000,3704800,2890600,1609400,1098000,962760,1683500,3647500,1573300,636110,829690,2918500
1579200,1558300,1421600,2399900,3099300,3676800,4184500,3840900,3262700,3108100,2554900,2393400,2025200,1577200,1490100,1354300,1236300,1281400,1292600,989970,1370100,1646800,2001800,2812300,2821300,2582900,2818000,3041300,2513200,2344900,2072900,1625000,1309900,67190000,515950,1498400,2726100,3889000,5227800,2042700,2169000,1931300,3603900,6830400,8496000,9351500,5657500,3498600,3248300,7033900,7598500,8025000,27134000,5091300,3650900,1752600,1072600,834460,1286700,2529900,972180,328500,378630,997590
2079300,2010700,1785000,2752000,3435100,3967000,4485700,4089800,3502000,3311700,2709900,2525900,2166000,1702500,1580300,1391700,1197300,1168700,1119400,807330,1005700,1122500,1370700,1949100,1977700,1830200,2004600,2160400,1791900,1696100,1551400,1357800,1177400,67582000,545100,1660200,2967600,4088000,5332100,2088600,2180000,1918200,3526500,6547400,7900200,8412200,4915700,2798900,2496000,4264500,5136800,5777000,21400000,4647800,3593200,1881100,1260500,1088200,1867000,3938200,1752800,707010,988860,2798900
1773400,1733200,1550600,2474300,3126300,3647300,4129100,3768100,3209600,3034500,2478000,2303800,1954700,1514800,1393600,1208200,1019200,971680,902750,625200,759130,834860,996790,1394300,1384900,1257200,1340700,1391000,1102600,976000,811770,602040,429330,64213000,524050,1536700,2767600,3895600,5202200,1997200,2112100,1841000,3358700,6170600,7309500,7646400,4459100,2438300,2084900,3487200,4204000,4332400,16331000,3597200,2562300,1309100,818350,672060,1082500,2136400,845330,283080,330220,754040
1857100,1810200,1596700,2445300,3034100,3491200,3933900,3572900,3055700,2874100,2337600,2166200,1865500,1477600,1405800,1266600,1122800,1118600,1082700,785240,1003600,1159800,1482800,2187700,2275200,2154900,2404800,2629300,2230600,2192800,2089200,1924300,1738600,59627000,531720,1584600,2850100,3983800,5269300,2051300,2157900,1899200,3497000,6505500,7866200,8415300,4946100,2839800,2580900,4452500,5400600,6483300,25395000,5453500,4434800,2398100,1648700,1477500,2635200,5775400,2616800,1154600,1643600,5258800
2052000,1983400,1761800,2726400,3408400,3940100,4454400,4058900,3467400,3273400,2672000,2481200,2107700,1627900,1464200,1229600,982140,884560,778500,504320,548080,550180,657450,932880,928570,847800,892540,905930,708700,629530,535780,463320,373880,67422000,538100,1612100,2874600,3975000,5235400,2002700,2101900,1815100,3277300,5937300,6876400,7016600,4019600,2049000,1652900,2348500,2897600,3112100,13450000,3173400,2346300,1285800,886490,766870,1340000,2931000,1294000,501770,673180,2140300
1827000,1782000,1576200,2436400,3035200,3503300,3950900,3590900,3066200,2885200,2346500,2173300,1861000,1460300,1368200,1207800,1040600,1008200,949210,666540,822130,918470,1112500,1571700,1575300,1440400,1552800,1642600,1328600,1203100,1026600,796510,604050,60307000,528010,1560400,2806300,3933700,5228700,2016500,2127100,1858800,3399000,6264200,7461800,7851700,4583100,2542500,2211500,3687400,4588400,4825500,18093000,3894100,2804300,1463600,958660,783520,1259400,2515500,1035500,362750,378210,998100
1451200,1438800,1307000,2205100,2841300,3365900,3820600,3495400,2958100,2802200,2287700,2123300,1777400,1356900,1245200,1075100,907930,863090,792890,538460,654950,729010,884830,1256300,1252000,1139600,1212000,1251200,978380,857500,694490,478040,309760,61890000,501910,1407800,2567400,3712500,5088200,1925600,2065400,1793600,3265100,5977600,7027900,7307600,4276500,2301400,1944400,3302000,3864600,4013800,15803000,3404300,2361400,1211700,787150,638240,1016000,2002700,815550,279290,283560,675830
1781000,1740600,1612100,2789600,3649500,4365100,4993000,4606900,3911200,3749000,3098900,2917800,2437200,1850400,1643600,1388000,1143500,1085800,1020600,724910,898740,1010900,1253700,1814100,1863500,1755300,1946200,2097800,1764100,1732300,1660300,1567000,1419800,80222000,525730,1548400,2789900,3922800,5225600,2018200,2131500,1867100,3423300,6332200,7584600,8031700,4711900,2649800,2338600,4062200,4818600,5358700,21086000,4799700,3928400,2125000,1443800,1336800,2409100,5421600,2415700,983550,1426600,4283400
1712000,1676900,1530000,2568600,3315900,3929700,4474600,4108100,3487200,3320300,2727100,2548200,2131300,1618300,1442000,1207900,975520,896160,805600,537010,620940,650780,754210,1036400,1007400,899020,937410,935650,688040,559240,409510,250100,143570,71338000,518910,1505200,2714500,3840600,5161700,1965600,2086000,1808200,3281300,5983700,6996700,7215100,4186800,2205000,1806000,2960100,3360400,3277900,13276000,2985700,2091700,1064200,678590,555820,869630,1671300,688570,222760,245060,525510
1391100,1383200,1256300,2128200,2744100,3252900,3689800,3372800,2849900,2695600,2196000,2032300,1695500,1287000,1173500,999450,824750,760070,671270,428890,482400,506800,605080,855970,844120,765330,797000,793990,591900,480050,370030,276160,188240,60113000,496600,1374800,2513100,3656400,5047400,1894100,2039300,1759900,3183600,5773000,6676100,6813400,3940000,2011800,1617400,2399900,3009700,2956800,12505000,2975400,2133900,1145200,749660,625420,1039800,2134700,903490,322990,387200,1062800
2113100,2042400,1790600,2664700,3270800,3728900,4196600,3807500,3272200,3077700,2507100,2326400,2020500,1618500,1550800,1413600,1269900,1284000,1265600,940380,1217400,1368500,1594100,2167200,2128600,1909300,2056400,2189400,1760700,1591100,1348400,1009100,765850,61768000,549620,1689700,3022100,4150600,5383200,2132300,2218600,1968300,3645300,6836500,8384200,9043000,5339600,3157600,2811200,5458500,6039700,6123300,20453000,4138600,2910200,1433100,876770,686650,1104200,2097400,846770,281340,317150,828620
1886000,1835800,1717600,3025100,3990200,4798200,5504500,5094800,4325700,4163000,3453900,3266900,2723200,2059500,1803500,1502400,1214900,1140200,1068000,759880,931360,1037100,1287500,1858300,1897300,1764300,1935400,2082400,1722300,1635300,1484600,1263000,1066300,88653000,532520,1587500,2851200,3978800,5260700,2040500,2146100,1881800,3451400,6387800,7660700,8119500,4753300,2673500,2370000,4054400,4805500,5539000,21595000,4532700,3464500,1845200,1237500,1033900,1770500,3717400,1608100,616490,752800,2576500
2098600,2026900,1830200,2945700,3750700,4395200,4998800,4585100,3913300,3726500,3067100,2876100,2434400,1875500,1677800,1418300,1155100,1077000,994350,691490,817690,876380,1054500,1488100,1494000,1369400,1480000,1562000,1263400,1167200,1035800,874410,710380,77014000,543840,1649300,2942800,4052700,5298400,2056200,2149100,1876100,3422800,6290100,7464500,7813100,4529100,2472700,2125400,3430100,4125600,4530600,17577000,3906600,2885300,1527800,1037900,879440,1500700,3176800,1426800,564330,667200,1944500
1678800,1647600,1449700,2228100,2762100,3178300,3573600,3237100,2761100,2586000,2091800,1928400,1659400,1313000,1258000,1133600,1002800,989790,942400,667820,844220,969050,1199800,1721900,1742100,1603500,1731300,1831600,1495500,1380500,1201400,930190,703230,54828000,518820,1508200,2726700,3864400,5188500,1994200,2115400,1850400,3389800,6262200,7483700,7912800,4643200,2605900,2299900,3923900,4901700,5284300,19986000,4132700,2937300,1522300,949620,777780,1269500,2599200,1059100,361910,439680,1208300
1846600,1799900,1586400,2426700,3009000,3460400,3897400,3537400,3023400,2840500,2307000,2133900,1833300,1445100,1362900,1211200,1051900,1025800,971130,686390,852920,949430,1134000,1583100,1572400,1425200,1523800,1598800,1275200,1137800,952310,695130,495180,59095000,529530,1569500,2821400,3949000,5239600,2024700,2133700,1866800,3417200,6307700,7532800,7941600,4646600,2593000,2248000,3906900,4620300,4778300,17718000,3747300,2624400,1323500,841210,675660,1060700,2059800,828950,274450,288620,626420
2144300,2068900,1908700,3226900,4197400,4994600,5716600,5279100,4497500,4319200,3580900,3388000,2850700,2180400,1920300,1608200,1301100,1219900,1145100,819660,993140,1071600,1271200,1772000,1770200,1618500,1764800,1888000,1530300,1422300,1266200,1055300,863390,89881000,548380,1677800,2993500,4108200,5341900,2092000,2179700,1914900,3513800,6509100,7826100,8288400,4841700,2729300,2374400,4223600,4726500,5019800,19327000,4163400,3081000,1641400,1095500,946930,1604200,3275700,1443600,530240,643830,1835000
